Thickness,SiteNum,Episode
2.6,15,Arm
5,15,Arm
1,15,Arm
2.3,15,Arm
7,15,Arm
3,15,Arm
3.2,15,Arm
1.8,15,Arm
5.3,15,Arm
2,15,Arm
1.7,15,Arm
2.2,15,Arm
2.8,15,Arm
4.8,15,Arm
12.2,16,Rowallan
4.7,16,Rowallan
4.8,16,Rowallan
5.9,16,Rowallan
7.1,16,Rowallan
6.2,16,Rowallan
7.5,16,Rowallan
10,16,Rowallan
4.1,16,Rowallan
5.5,16,Rowallan
4,16,Rowallan
4.5,16,Rowallan
5.3,16,Rowallan
5,16,Rowallan
4.1,16,Rowallan
3.6,16,Rowallan
5.8,16,Rowallan
4.1,16,Rowallan
8.2,16,Rowallan
4.3,16,Rowallan
5,16,Rowallan
6.9,16,Rowallan
7.8,16,Rowallan
5,16,Rowallan
7.2,16,Rowallan
13.2,16,Rowallan
6.4,16,Rowallan
5.1,16,Rowallan
5.3,16,Rowallan
4.1,16,Rowallan
7.2,16,Rowallan
4.9,16,Rowallan
6.9,16,Rowallan
5,16,Rowallan
4.5,16,Rowallan
5,16,Rowallan
8.9,16,Rowallan
5.5,16,Rowallan
5.4,16,Rowallan
8.8,16,Rowallan
5.8,16,Rowallan
7.5,16,Rowallan
8.8,16,Rowallan
6.8,16,Rowallan
5.4,16,Rowallan
7,16,Rowallan
8.1,16,Rowallan
7,16,Rowallan
7,16,Rowallan
8.2,16,Rowallan
